Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiCertSync.csproj,,,System.Security.Cryptography.ProtectedData 9.0.8,,,,,"System.Security.Cryptography.ProtectedData, 9.0.8  Recommendation:  Remove System.Security.Cryptography.ProtectedData, and replace with new package System.Security.Cryptography.ProtectedData 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiCertSync.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,362,8,T:System.Net.Http.HttpContent,,,,,using var doc = JsonDocument.Parse(await resp.Content.ReadAsStringAsync());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,362,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(await resp.Content.ReadAsStringAsync());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,362,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(await resp.Content.ReadAsStringAsync());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,360,12,T:System.Net.Http.HttpContent,,,,,"throw new Exception($""Failed to enumerate existed {fieldName} in {url}: {(int)resp.StatusCode} {await resp.Content.ReadAsStringAsync()}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,351,22,T:System.Net.Http.HttpContent,,,,,"throw new Exception($""Rebind {fieldName}in {url} failed: {(int)resp.StatusCode} {await resp.Content.ReadAsStringAsync()}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,347,8,T:System.Net.Http.HttpContent,,,,,"using var req = new HttpRequestMessage(HttpMethod.Put, url) { Content = content };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,280,8,T:System.Net.Http.HttpContent,,,,,using var doc = JsonDocument.Parse(await resp.Content.ReadAsStringAsync());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,280,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(await resp.Content.ReadAsStringAsync());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,280,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(await resp.Content.ReadAsStringAsync());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,276,12,T:System.Net.Http.HttpContent,,,,,"Logger.Error($""Failed to enumerate usage references for {mkey}: {(int)resp.StatusCode} {await resp.Content.ReadAsStringAsync()}"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FortiCertSync\FortiCertSync.csproj,File,FortiCertSync\FortiClient.cs,270,8,T:System.Uri,,,,,"var query = $""q_path=vpn.certificate&q_name=local&mkey={Uri.EscapeDataString(mkey)}"";"
